"Core network metabolites",,
"ID","NAME","FORMULA"
"C01031","S-Formylglutathione","C11H17N3O7S"
"C01035","4-Guanidinobutanoate","C5H11N3O2"
"C01042","N-Acetyl-L-aspartate","C6H9NO5"
"C01044","N-Formyl-L-aspartate","C5H7NO5"
"C01045","N-Formyl-L-glutamate","C6H9NO5"
"C01073","N-Acetyl-beta-alanine","C5H9NO3"
"C01077","O-Acetyl-L-homoserine","C6H11NO4"
"C01114","L-Arabinono-1,4-lactone","C5H8O5"
"C01118","O-Succinyl-L-homoserine","C8H13NO6"
"C01127","4-Hydroxy-2-oxoglutarate","C5H6O6"
"C01146","2-Hydroxy-3-oxopropanoate","C3H4O4"
"C01215","2-(Acetamidomethylene)succinate","C7H9NO5"
"C01234","1-Aminocyclopropane-1-carboxylate","C4H7NO2"
"C01326","Hydrogen cyanide","CHN"
"C01328","HO-","OH"
"C01353","Carbonic acid","H2CO3"
"C01384","Maleic acid","C4H4O4"
"C01401","Alanine","C3H7NO2"
"C01417","Cyanate","CHNO"
"C01419","Cys-Gly","C5H10N2O3S"
"C01548","Acetylene","C2H2"
"C01563","Carbamate","CH3NO2"
"C01566","Cyanamide","CH2N2"
"C01596","Maleamate","C4H5NO3"
"C01732","Mesaconate","C5H6O4"
"C01755","Thiocyanate","CHNS"
"C01769","(S)-Acetoin","C4H8O2"
"C01990","3-Oxalomalate","C6H6O8"
"C02091","(S)-Ureidoglycine","C3H7N3O3"
"C02107","(S,S)-Tartaric acid","C4H6O6"
"C02132","Acetylpyruvate","C5H6O4"
"C02167","Maleylpyruvate","C7H6O6"
"C02218","Dehydroalanine","C3H5NO2"
"C02220","2-Aminomuconate","C6H7NO4"
"C02225","2-Methylcitrate","C7H10O7"
"C02226","2-Methylmaleate","C5H6O4"
"C02237","5-Oxo-D-proline","C5H7NO3"
"C02266","D-Xylonolactone","C5H8O5"
"C02291","L-Cystathionine","C7H14N2O4S"
"C02341","trans-Aconitate","C6H6O6"
"C02348","(R)(-)-Allantoin","C4H6N4O3"
"C02350","(S)-Allantoin","C4H6N4O3"
"C02362","2-Oxosuccinamate","C4H5NO4"
"C02501","2-Hydroxymuconate","C6H6O5"
"C02512","3-Cyano-L-alanine","C4H6N2O2"
"C02514","3-Fumarylpyruvate","C7H6O6"
"C02612","(R)-2-Methylmalate","C5H8O5"
"C02614","(S)-2-Methylmalate","C5H8O5"
"C02642","3-Ureidopropionate","C4H8N2O3"
"C02753","D-Xylono-1,4-lactone","C5H8O5"
"C02946","4-Acetamidobutanoate","C6H11NO3"
"C03015","O-Carbamoyl-L-serine","C4H8N2O4"
"C03063","2-Oxohept-3-enedioate","C7H8O5"
"C03065","3-Guanidinopropanoate","C4H9N3O2"
"C03078","4-Guanidinobutanamide","C5H12N4O"
"C03079","4-Hydroxy-L-glutamate","C5H9NO5"
"C03139","N-Amidino-L-aspartate","C5H9N3O4"
"C03174","S-Succinylglutathione","C14H21N3O9S"
"C03217","2-Hydroxy-3-oxoadipate","C6H8O6"
"C03248","Acetylenedicarboxylate","C4H2O4"
"C03277","Imidazol-5-yl-pyruvate","C6H6N2O3"
"C03409","N-Formimino-L-aspartate","C5H8N2O4"
"C03451","(R)-S-Lactoylglutathione","C13H21N3O8S"
"C03453","gamma-Oxalocrotonate","C6H6O5"
"C03459","2-Hydroxy-3-oxosuccinate","C4H4O6"
"C03548","trans-2,3-Epoxysuccinate","C4H4O5"
"C03589","4-Hydroxy-2-oxopentanoate","C5H8O4"
"C03618","L-threo-3-Methylaspartate","C5H9NO4"
"C03671","2-Pyrone-4,6-dicarboxylate","C7H4O6"
"C03680","4-Imidazolone-5-propanoate","C6H8N2O3"
"C03703","L-5-Carboxymethylhydantoin","C5H6N2O4"
"C03738","gamma-L-Glutamyl-D-alanine","C8H14N2O5"
"C03826","2-Dehydro-3-deoxy-D-xylonate","C5H8O5"
"C03921","2-Dehydro-3-deoxy-D-glucarate","C6H8O7"
"C03961","erythro-3-Hydroxy-Ls-aspartate","C4H7NO5"
"C03981","2-Hydroxyethylenedicarboxylate","C4H4O5"
"C04052","5-Carboxy-2-oxohept-3-enedioate","C8H8O7"
"C04115","4-Carboxy-4-hydroxy-2-oxoadipate","C7H8O8"
"C04181","3-Hydroxy-3-methyl-2-oxobutanoic acid","C5H8O4"
"C04186","5-Carboxymethyl-2-hydroxymuconate","C8H8O7"
"C04225","(Z)-But-2-ene-1,2,3-tricarboxylate","C7H8O6"
"C04282","1-Pyrroline-4-hydroxy-2-carboxylate","C5H7NO3"
"C04324","(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,3-diene-1","C7H6O7"
"C04434","(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate","C7H6O7"
"C04479","2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate","C9H10O6"
"C04480","3-Carboxy-2-hydroxymuconate semialdehyde","C7H6O6"
"C04484","4-Carboxy-2-hydroxymuconate semialdehyde","C7H6O6"
"C04593","(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate","C7H10O7"
"C05130","Imidazole-4-acetaldehyde","C5H6N2O"
"C05133","4-Imidazolone-5-acetate","C5H6N2O3"
"C05364","4-Carboxy-2-oxo-3-hexenedioate","C7H6O7"
"C05375","2-Hydroxy-2-hydropyrone-4,6-dicarboxylate","C7H6O6"
"C05379","Oxalosuccinate","C6H6O7"
"C05519","L-Allothreonine","C4H9NO3"
"C05565","Hydantoin-5-propionate","C6H8N2O4"
"C05572","4-Oxoglutaramate","C5H7NO4"
"C05574","3-Aminopentanedioate","C5H9NO4"
"C05600","2-Hydroxyhepta-2,4-dienedioate","C7H8O5"
"C05601","4-Hydroxy-2-oxo-heptanedioate","C7H10O6"
"C05670","3-Aminopropiononitrile","C3H6N2"
"C05711","gamma-Glutamyl-beta-cyanoalanine","C9H13N3O5"
"C05714","alpha-Aminopropiononitrile","C3H6N2"
"C05715","gamma-Amino-gamma-cyanobutanoate","C5H8N2O2"
"C05829","N-Carbamyl-L-glutamate","C6H10N2O5"
"C05931","N-Succinyl-L-glutamate","C9H13NO7"
"C05941","2-Oxo-4-hydroxy-5-aminovalerate","C5H9NO4"
"C05942","Pyrrole-2-carboxylate","C5H5NO2"
"C05946","(4R)-4-Hydroxy-2-oxoglutarate","C5H6O6"
"C05947","L-erythro-4-Hydroxyglutamate","C5H9NO5"
"C06006","(S)-2-Aceto-2-hydroxybutanoate","C6H10O4"
"C06010","(S)-2-Acetolactate","C5H8O4"
"C06029","L-threo-3-Methylmalate","C5H8O5"
"C06030","Methyloxaloacetate","C5H6O5"
"C06031","D-threo-3-Methylmalate","C5H8O5"
"C06032","D-erythro-3-Methylmalate","C5H8O5"
"C06033","Parapyruvate","C6H8O6"
"C06034","4-Hydroxy-4-methylglutamate","C6H11NO5"
"C06035","4-Methylene-2-oxoglutarate","C6H6O5"
"C06114","gamma-Glutamyl-beta-aminopropiononitrile","C8H13N3O3"
"C06201","2,4-Dihydroxyhept-2-enedioate","C7H10O6"
"C06210","2-Hydroxy-6-keto-2,4-heptadienoate","C7H8O4"
"C06234","4-Methyl-L-glutamate","C6H11NO4"
"C06244","Acetamide","C2H5NO"
"C06393","2,3-Diaminopropanoate","C3H8N2O2"
"C06554","Cyanuric acid","C3H3N3O3"
"C06555","Biuret","C2H5N3O2"
"C06771","Triethanolamine","C6H15NO3"
"C06772","Diethanolamine","C4H11NO2"
"C07272","Maleimide","C4H3NO2"
"C07331","Carbonyl sulfide","COS"
"C08733","Ammeline","C3H5N5O"
"C08734","Ammelide","C3H4N4O2"
"C08737","Melamine","C3H6N6"
"C11511","threo-3-Hydroxy-L-aspartate","C4H7NO5"
"C11821","5-Hydroxyisourate","C5H4N4O4"
"C12248","5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate","C5H6N4O5"
"C12270","N-Acetylaspartylglutamate","C11H16N2O8"
"C12317","D-Allothreonine","C4H9NO3"
"C12624","2-Hydroxy-6-ketononatrienedioate","C9H8O6"
"C14463","(R)-3-Hydroxy-3-methyl-2-oxopentanoate","C6H10O4"
"C15607","3-Oxo-3-ureidopropanoate","C4H6N2O4"
"C15767","4-(L-gamma-Glutamylamino)butanoate","C9H16N2O5"
"C15809","Iminoglycine","C2H3NO2"
"C16674","Formylisoglutamine","C6H10N2O4"
"C17234","2-Aminobut-2-enoate","C4H7NO2"
"C18232","N-Formylmaleamic acid","C5H5NO4"
"C19033","Carbon disulfide","CS2"
"C19779","beta-Alaninamide","C3H8N2O"
"C19813","threo-3-Hydroxy-D-aspartate","C4H7NO5"
"C19838","D-erythro-3-Hydroxyaspartate","C4H7NO5"
"C19907","Pyrrole","C4H5N"
"C20253","Aminoacrylate","C3H5NO2"
"C20254","Ureidoacrylate","C4H6N2O3"
"C20366","2-Oxo-3-(5-oxofuran-2-ylidene)propanoate","C7H4O5"
"C20367","4-Nitro-6-oxohepta-2,4-dienedioate","C7H5NO7"
"C20485","(4S)-4-Hydroxy-2-oxoglutarate","C5H6O6"
"C20776","N-Acetylaspartylglutamylglutamate","C16H23N3O11"
"C20781","2,4-Diketo-3-deoxy-L-fuconate","C6H8O5"
"C20889","D-Galactaro-1,5-lactone","C6H8O7"
"C20896","D-Galactaro-1,4-lactone","C6H8O7"
