"Balanced KEGG Reactions",,,,,,
"ID","NAME","FORMULA (ID)","FORMULA (NAME)",,"INCLUDED IN ANAEROBIC GLOBAL METABOLISM?","Standard Molar Free Energy kJ/mol (pH 7, ionic strength 0.1 M)"
"R00063","1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase;"," C00031 +  C04275 <=> 2 C01175"," D-Glucose +  1,2-Bis-O-sinapoyl-beta-D-glucoside <=> 2 1-O-Sinapoyl-beta-D-glucose",,VERDADEIRO,0
"R00066","6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase"," C00255 +  C04732 <=> 2 C04332"," Riboflavin +  5-Amino-6-(1-D-ribitylamino)uracil <=> 2 6,7-Dimethyl-8-(D-ribityl)lumazine",,VERDADEIRO,"50,4"
"R00068","L-ascorbate:oxygen oxidoreductase"," C00007 + 2 C00072 => 2 C00001 + 2 C05422"," Oxygen + 2 Ascorbate => 2 H2O + 2 Dehydroascorbate",,FALSO,"-445,6"
"R00069","4-imidazolone-5-propanoate:oxygen oxidoreductase"," C00001 +  C00007 +  C03680 =>  C00027 +  C05565"," H2O +  Oxygen +  4-Imidazolone-5-propanoate =>  Hydrogen peroxide +  Hydantoin-5-propionate",,FALSO,"93,7"
"R00070","D-urobilinogen:oxygen oxidoreductase"," C00007 + 2 C05791 => 2 C00001 + 2 C05795"," Oxygen + 2 D-Urobilinogen => 2 H2O + 2 D-Urobilin",,FALSO,"NaN"
"R00072","thiamine-aldehyde:oxygen 5-oxidoreductase"," C00001 +  C00007 +  C05856 =>  C00027 +  C02892"," H2O +  Oxygen +  Thiamine aldehyde =>  Hydrogen peroxide +  Thiamine acetic acid",,FALSO,"-173,7"
"R00074","2-aminophenol:oxygen oxidoreductase (dimerizing)","3 C00007 + 4 C01987 => 6 C00001 + 2 C02161","3 Oxygen + 4 2-Aminophenol => 6 H2O + 2 2-Aminophenoxazin-3-one",,FALSO,"NaN"
"R00075","S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase","3 C00170 +  C05324 <=> 3 C00019","3 5'-Methylthioadenosine +  Nicotianamine <=> 3 S-Adenosyl-L-methionine",,VERDADEIRO,"NaN"
"R00078","Fe(II):oxygen oxidoreductase;"," C00007 + 4 C00080 + 4 C14818 => 2 C00001 + 4 C14819"," Oxygen + 4 H+ + 4 Fe2+ => 2 H2O + 4 Fe3+",,FALSO,"NaN"
"R00080","Catechol:oxygen oxidoreductase (dimerizing)","3 C00007 + 4 C00090 => 6 C00001 + 2 C03861","3 Oxygen + 4 Catechol => 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione",,FALSO,"NaN"
"R00084","porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);","4 C00014 +  C01024 <=>  C00001 + 4 C00931","4 Ammonia +  Hydroxymethylbilane <=>  H2O + 4 Porphobilinogen",,VERDADEIRO,-166
"R00085","ATP diphosphohydrolase (phosphate-forming)","2 C00009 +  C00020 <=> 2 C00001 +  C00002","2 Orthophosphate +  AMP <=> 2 H2O +  ATP",,VERDADEIRO,"-58,2"
"R00086","ATP phosphohydrolase"," C00008 +  C00009 <=>  C00001 +  C00002"," ADP +  Orthophosphate <=>  H2O +  ATP",,VERDADEIRO,"-28,3"
"R00087","ATP diphosphohydrolase (diphosphate-forming);"," C00013 +  C00020 <=>  C00001 +  C00002"," Diphosphate +  AMP <=>  H2O +  ATP",,VERDADEIRO,"-37,4"
"R00088","ATP aminohydrolase"," C00014 +  C00081 <=>  C00001 +  C00002"," Ammonia +  ITP <=>  H2O +  ATP",,VERDADEIRO,"-25,6"
"R00089","ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)"," C00013 +  C00575 <=>  C00002"," Diphosphate +  3',5'-Cyclic AMP <=>  ATP",,VERDADEIRO,"11,4"
"R00090","NADH:hydrogen-peroxide oxidoreductase","2 C00001 +  C00003 <=>  C00004 +  C00027 +  C00080","2 H2O +  NAD+ <=>  NADH +  Hydrogen peroxide +  H+",,VERDADEIRO,"-319,8"
"R00091","CoA:NAD+ oxidoreductase"," C00004 +  C00080 +  C02015 <=>  C00003 + 2 C00010"," NADH +  H+ +  CoA-disulfide <=>  NAD+ + 2 CoA",,VERDADEIRO,"-16,2"
"R00092","Fe2+:NAD+ oxidoreductase;"," C00004 +  C00080 + 2 C14819 <=>  C00003 + 2 C14818"," NADH +  H+ + 2 Fe3+ <=>  NAD+ + 2 Fe2+",,VERDADEIRO,"NaN"
"R00093","L-glutamate:NAD+ oxidoreductase (transaminating)"," C00004 +  C00026 +  C00064 +  C00080 <=>  C00003 + 2 C00025"," NADH +  2-Oxoglutarate +  L-Glutamine +  H+ <=>  NAD+ + 2 L-Glutamate",,VERDADEIRO,"50,5"
"R00094","glutathione:NAD+ oxidoreductase"," C00004 +  C00080 +  C00127 <=>  C00003 + 2 C00051"," NADH +  H+ +  Glutathione disulfide <=>  NAD+ + 2 Glutathione",,VERDADEIRO,10
"R00095","NADH:monodehydroascorbate oxidoreductase"," C00004 +  C00080 + 2 C01041 <=>  C00003 + 2 C00072"," NADH +  H+ + 2 Monodehydroascorbate <=>  NAD+ + 2 Ascorbate",,VERDADEIRO,"60,5"
"R00097","NADH:cob(III)alamine oxidoreductase"," C00004 + 2 C00992 <=> 2 C00001 +  C00003 +  C00080 + 2 C00541"," NADH + 2 Aquacob(III)alamin <=> 2 H2O +  NAD+ +  H+ + 2 Cob(II)alamin",,VERDADEIRO,"NaN"
"R00099","cob(I)alamin:NAD+ oxidoreductase;"," C00004 +  C00080 + 2 C00541 <=>  C00003 + 2 C00853"," NADH +  H+ + 2 Cob(II)alamin <=>  NAD+ + 2 Cob(I)alamin",,VERDADEIRO,"NaN"
"R00102","NAD+ glycohydrolase"," C00153 +  C00301 <=>  C00001 +  C00003"," Nicotinamide +  ADP-ribose <=>  H2O +  NAD+",,VERDADEIRO,"-2285,5"
"R00103","NAD+ phosphohydrolase"," C00020 +  C00455 <=>  C00001 +  C00003"," AMP +  Nicotinamide D-ribonucleotide <=>  H2O +  NAD+",,VERDADEIRO,"-2294,7"
"R00104","ATP:NAD+ 2'-phosphotransferase"," C00006 +  C00008 <=>  C00002 +  C00003"," NADP+ +  ADP <=>  ATP +  NAD+",,VERDADEIRO,"862,1"
"R00105","ATP:NADH 2'-phosphotransferase"," C00005 +  C00008 <=>  C00002 +  C00004"," NADPH +  ADP <=>  ATP +  NADH",,VERDADEIRO,"860,4"
"R00107","cob(II)alamin:NADP+ oxidoreductase;","2 C00001 +  C00006 +  C00080 + 2 C00541 <=>  C00005 + 2 C00992","2 H2O +  NADP+ +  H+ + 2 Cob(II)alamin <=>  NADPH + 2 Aquacob(III)alamin",,VERDADEIRO,"NaN"
"R00111","N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)"," C00005 + 2 C00007 +  C00080 + 2 C05933 => 2 C00001 +  C00006 + 2 C00327 + 2 C00533"," NADPH + 2 Oxygen +  H+ + 2 N(omega)-Hydroxyarginine => 2 H2O +  NADP+ + 2 L-Citrulline + 2 Nitric oxide",,FALSO,"NaN"
"R00112","NADPH:NAD+ oxidoreductase"," C00004 +  C00006 <=>  C00003 +  C00005"," NADH +  NADP+ <=>  NAD+ +  NADPH",,VERDADEIRO,"1,7"
"R00113","NADPH:hydrogen-peroxide oxidoreductase","2 C00001 +  C00006 <=>  C00005 +  C00027 +  C00080","2 H2O +  NADP+ <=>  NADPH +  Hydrogen peroxide +  H+",,VERDADEIRO,"-318,1"
"R00114","L-Glutamate:NADP+ oxidoreductase (transaminating)"," C00005 +  C00026 +  C00064 +  C00080 <=>  C00006 + 2 C00025"," NADPH +  2-Oxoglutarate +  L-Glutamine +  H+ <=>  NADP+ + 2 L-Glutamate",,VERDADEIRO,"48,8"
"R00115","glutathione:NADP+ oxidoreductase"," C00005 +  C00080 +  C00127 <=>  C00006 + 2 C00051"," NADPH +  H+ +  Glutathione disulfide <=>  NADP+ + 2 Glutathione",,VERDADEIRO,"8,3"
"R00118","NADP+ 2'-phosphohydrolase"," C00003 +  C00009 <=>  C00001 +  C00006"," NAD+ +  Orthophosphate <=>  H2O +  NADP+",,VERDADEIRO,"-890,4"
"R00119","NADP+:nicotinate ADP-ribosyltransferase"," C00153 +  C13051 <=>  C00006 +  C00253"," Nicotinamide +  Nicotinic acid adenine dinucleotide phosphate <=>  NADP+ +  Nicotinate",,VERDADEIRO,"-3159,5"
"R00120","glutathione:oxygen oxidoreductase"," C00007 + 2 C00051 =>  C00027 +  C00127"," Oxygen + 2 Glutathione =>  Hydrogen peroxide +  Glutathione disulfide",,FALSO,"-119,9"
"R00122","ADP phosphohydrolase"," C00009 +  C00020 <=>  C00001 +  C00008"," Orthophosphate +  AMP <=>  H2O +  ADP",,VERDADEIRO,-30
"R00123","ADP aminohydrolase"," C00014 +  C00104 <=>  C00001 +  C00008"," Ammonia +  IDP <=>  H2O +  ADP",,VERDADEIRO,"-25,5"
"R00125","P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase","2 C00008 <=>  C00001 +  C01260","2 ADP <=>  H2O +  P1,P4-Bis(5'-adenosyl)tetraphosphate",,VERDADEIRO,"-44,4"
"R00126","ADP:ATP adenylyltransferase"," C00009 +  C01260 <=>  C00002 +  C00008"," Orthophosphate +  P1,P4-Bis(5'-adenosyl)tetraphosphate <=>  ATP +  ADP",,VERDADEIRO,"16,1"
"R00127","ATP:AMP phosphotransferase","2 C00008 <=>  C00002 +  C00020","2 ADP <=>  ATP +  AMP",,VERDADEIRO,"1,7"
"R00128","Adenosine-tetraphosphate phosphohydrolase"," C00002 +  C00009 <=>  C00001 +  C03483"," ATP +  Orthophosphate <=>  H2O +  Adenosine tetraphosphate",,VERDADEIRO,"-36,2"
"R00129","(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)"," C00004 +  C00008 +  C00009 <=>  C00002 +  C04856"," NADH +  ADP +  Orthophosphate <=>  ATP +  (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide",,VERDADEIRO,"2187,8"
"R00130","ATP:dephospho-CoA 3'-phosphotransferase"," C00008 +  C00010 <=>  C00002 +  C00882"," ADP +  CoA <=>  ATP +  Dephospho-CoA",,VERDADEIRO,"-11,9"
"R00131","Urea amidohydrolase"," C00011 + 2 C00014 <=>  C00001 +  C00086"," CO2 + 2 Ammonia <=>  H2O +  Urea",,VERDADEIRO,"-24,8"
"R00132","carbonate hydro-lyase (carbon-dioxide-forming);"," C00001 +  C00011 <=>  C01353"," H2O +  CO2 <=>  Carbonic acid",,VERDADEIRO,"NaN"
"R00134","formate:NADP+ oxidoreductase"," C00005 +  C00011 +  C00080 <=>  C00006 +  C00058"," NADPH +  CO2 +  H+ <=>  NADP+ +  Formate",,VERDADEIRO,"-16,1"
"R00137","ATP:nicotinamide-nucleotide adenylyltransferase"," C00003 +  C00013 <=>  C00002 +  C00455"," NAD+ +  Diphosphate <=>  ATP +  Nicotinamide D-ribonucleotide",,VERDADEIRO,"2257,3"
"R00138","Triphosphate phosphohydrolase"," C00009 +  C00013 <=>  C00001 +  C00536"," Orthophosphate +  Diphosphate <=>  H2O +  Triphosphate",,VERDADEIRO,"NaN"
"R00139","ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase"," C00008 +  C11039 <=>  C00002 +  C11038"," ADP +  2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate <=>  ATP +  2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate",,VERDADEIRO,0
"R00140","ATP:5-hydroxymethyldeoxycytidylate phosphotransferase"," C00002 +  C03997 <=>  C00008 +  C11038"," ATP +  5-Hydroxymethyldeoxycytidylate <=>  ADP +  2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate",,VERDADEIRO,"-1,7"
"R00141","ATP:ammonia phosphotransferase"," C00008 +  C02306 <=>  C00002 +  C00014"," ADP +  Phosphoramidate <=>  ATP +  Ammonia",,VERDADEIRO,"-150,2"
"R00143","ammonia:NAD+ oxidoreductase;"," C00004 +  C00080 +  C00192 <=>  C00001 +  C00003 +  C00014"," NADH +  H+ +  Hydroxylamine <=>  H2O +  NAD+ +  Ammonia",,VERDADEIRO,"NaN"
"R00149","Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)","2 C00008 +  C00009 +  C00169 <=>  C00001 + 2 C00002 +  C00011 +  C00014","2 ADP +  Orthophosphate +  Carbamoyl phosphate <=>  H2O + 2 ATP +  CO2 +  Ammonia",,VERDADEIRO,"-26,7"
"R00150","ATP:carbamate phosphotransferase"," C00008 +  C00169 <=>  C00002 +  C00011 +  C00014"," ADP +  Carbamoyl phosphate <=>  ATP +  CO2 +  Ammonia",,VERDADEIRO,"1,5"
"R00152","hydrogen cyanide aminohydrolase"," C00014 +  C00058 <=> 2 C00001 +  C01326"," Ammonia +  Formate <=> 2 H2O +  Hydrogen cyanide",,VERDADEIRO,"NaN"
"R00155","UDP phosphohydrolase"," C00009 +  C00105 <=>  C00001 +  C00015"," Orthophosphate +  UMP <=>  H2O +  UDP",,VERDADEIRO,"-29,9"
"R00156","ATP:UDP phosphotransferase"," C00008 +  C00075 <=>  C00002 +  C00015"," ADP +  UTP <=>  ATP +  UDP",,VERDADEIRO,0
"R00157","Uridine triphosphate:AMP phosphotransferase;"," C00008 +  C00015 <=>  C00020 +  C00075"," ADP +  UDP <=>  AMP +  UTP",,VERDADEIRO,"1,7"
"R00158","ATP:UMP phosphotransferase"," C00008 +  C00015 <=>  C00002 +  C00105"," ADP +  UDP <=>  ATP +  UMP",,VERDADEIRO,"1,7"
"R00159","UTP phosphohydrolase"," C00009 +  C00015 <=>  C00001 +  C00075"," Orthophosphate +  UDP <=>  H2O +  UTP",,VERDADEIRO,"-28,3"
"R00160","FAD nucleotidohydrolase"," C00020 +  C00061 <=>  C00001 +  C00016"," AMP +  FMN <=>  H2O +  FAD",,VERDADEIRO,"-997,5"
"R00161","ATP:FMN adenylyltransferase"," C00013 +  C00016 <=>  C00002 +  C00061"," Diphosphate +  FAD <=>  ATP +  FMN",,VERDADEIRO,"960,1"
"R00173","pyridoxal-5'-phosphate phosphohydrolase"," C00009 +  C00250 <=>  C00001 +  C00018"," Orthophosphate +  Pyridoxal <=>  H2O +  Pyridoxal phosphate",,VERDADEIRO,"-12,7"
"R00174","ATP:pyridoxal 5'-phosphotransferase"," C00008 +  C00018 <=>  C00002 +  C00250"," ADP +  Pyridoxal phosphate <=>  ATP +  Pyridoxal",,VERDADEIRO,"-15,6"
"R00175","S-Adenosyl-L-methionine hydrolase"," C00170 +  C00263 <=>  C00001 +  C00019"," 5'-Methylthioadenosine +  L-Homoserine <=>  H2O +  S-Adenosyl-L-methionine",,VERDADEIRO,"NaN"
"R00177","ATP:L-methionine S-adenosyltransferase"," C00001 +  C00002 +  C00073 <=>  C00009 +  C00013 +  C00019"," H2O +  ATP +  L-Methionine <=>  Orthophosphate +  Diphosphate +  S-Adenosyl-L-methionine",,VERDADEIRO,"NaN"
"R00178","S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]"," C00011 +  C01137 <=>  C00019 +  C00080"," CO2 +  S-Adenosylmethioninamine <=>  S-Adenosyl-L-methionine +  H+",,VERDADEIRO,"-21,2"
"R00179","S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)"," C00170 +  C01234 <=>  C00019"," 5'-Methylthioadenosine +  1-Aminocyclopropane-1-carboxylate <=>  S-Adenosyl-L-methionine",,VERDADEIRO,"NaN"
"R00180","S-Adenosyl-L-methionine alkyltransferase (cyclizing)"," C00170 +  C02926 <=>  C00019"," 5'-Methylthioadenosine +  Homoserine lactone <=>  S-Adenosyl-L-methionine",,VERDADEIRO,"NaN"
"R00181","AMP aminohydrolase"," C00014 +  C00130 <=>  C00001 +  C00020"," Ammonia +  IMP <=>  H2O +  AMP",,VERDADEIRO,"-25,4"
"R00182","AMP phosphoribohydrolase"," C00117 +  C00147 <=>  C00001 +  C00020"," D-Ribose 5-phosphate +  Adenine <=>  H2O +  AMP",,VERDADEIRO,"-8,4"
"R00183","adenosine 5'-monophosphate phosphohydrolase"," C00009 +  C00212 <=>  C00001 +  C00020"," Orthophosphate +  Adenosine <=>  H2O +  AMP",,VERDADEIRO,"-13,3"
"R00184","P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase"," C00002 +  C00020 <=>  C00001 +  C01260"," ATP +  AMP <=>  H2O +  P1,P4-Bis(5'-adenosyl)tetraphosphate",,VERDADEIRO,"-46,1"
"R00185","ATP:adenosine 5'-phosphotransferase"," C00008 +  C00020 <=>  C00002 +  C00212"," ADP +  AMP <=>  ATP +  Adenosine",,VERDADEIRO,"-14,9"
"R00187","P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"," C00008 +  C00020 <=>  C00001 +  C06197"," ADP +  AMP <=>  H2O +  P1,P3-Bis(5'-adenosyl) triphosphate",,VERDADEIRO,"NaN"
"R00188","Adenosine 3',5'-bisphosphate 3'-phosphohydrolase"," C00009 +  C00020 <=>  C00001 +  C00054"," Orthophosphate +  AMP <=>  H2O +  Adenosine 3',5'-bisphosphate",,VERDADEIRO,"-16,5"
"R00189","deamido-NAD+:ammonia ligase (AMP-forming)"," C00003 +  C00013 +  C00020 <=>  C00002 +  C00014 +  C00857"," NAD+ +  Diphosphate +  AMP <=>  ATP +  Ammonia +  Deamino-NAD+",,VERDADEIRO,"2246,1"
"R00190","AMP:diphosphate phospho-D-ribosyltransferase"," C00119 +  C00147 <=>  C00013 +  C00020"," 5-Phospho-alpha-D-ribose 1-diphosphate +  Adenine <=>  Diphosphate +  AMP",,VERDADEIRO,"15,4"
"R00191","adenosine 3',5'-phosphate 5'-nucleotidohydrolase"," C00020 <=>  C00001 +  C00575"," AMP <=>  H2O +  3',5'-Cyclic AMP",,VERDADEIRO,"-48,8"
"R00192","S-Adenosyl-L-homocysteine hydrolase"," C00155 +  C00212 <=>  C00001 +  C00021"," L-Homocysteine +  Adenosine <=>  H2O +  S-Adenosyl-L-homocysteine",,VERDADEIRO,"34,7"
"R00193","S-Adenosyl-L-homocysteine aminohydrolase"," C00014 +  C03431 <=>  C00001 +  C00021"," Ammonia +  S-Inosyl-L-homocysteine <=>  H2O +  S-Adenosyl-L-homocysteine",,VERDADEIRO,"-25,4"
"R00194","S-Adenosyl-L-homocysteine homocysteinylribohydrolase"," C00147 +  C03539 <=>  C00001 +  C00021"," Adenine +  S-Ribosyl-L-homocysteine <=>  H2O +  S-Adenosyl-L-homocysteine",,VERDADEIRO,"-8,4"
