"Network generated with CoA and NTP coupled reactions replaced with Pantetheine and Pyrophosphate (respectively), and unbalanced FAD/NAD(P)-dependent half reactions included",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Delta G cutoff [kJ/mol]",,,,,,,,,,,
"C00077","L-Ornithine",1,1,1,1,1,1,1,1,1,1,1,1
"C00078","L-Tryptophan",1,1,1,1,1,1,1,1,1,1,1,1
"C00079","L-Phenylalanine",1,1,1,1,1,1,1,1,1,1,1,1
"C00080","H+",1,1,1,1,1,1,1,1,1,1,1,1
"C00081","ITP",1,1,1,1,1,1,1,1,1,1,1,1
"C00082","L-Tyrosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00083","Malonyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00084","Acetaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00085","D-Fructose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00086","Urea",1,1,1,1,1,1,1,1,1,1,1,1
"C00087","Sulfur",1,1,1,1,1,1,1,1,1,1,1,1
"C00088","Nitrite",1,1,1,1,1,1,1,1,1,1,1,1
"C00089","Sucrose",1,1,1,1,1,1,1,1,1,1,1,1
"C00090","Catechol",1,1,1,1,1,1,1,1,1,1,1,1
"C00091","Succinyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00092","D-Glucose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00093","sn-Glycerol 3-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00094","Sulfite",1,1,1,1,1,1,1,1,1,1,1,1
"C00095","D-Fructose",1,1,1,1,1,1,1,1,1,1,1,1
"C00096","GDP-mannose",1,1,1,1,1,1,0,0,0,0,0,0
"C00097","L-Cysteine",1,1,1,1,1,1,1,1,1,1,1,1
"C00099","beta-Alanine",1,1,1,1,1,1,1,1,1,1,1,1
"C00100","Propanoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00101","Tetrahydrofolate",1,1,1,1,1,1,0,0,0,0,0,0
"C00103","D-Glucose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00104","IDP",1,1,1,1,1,1,1,1,1,1,1,1
"C00105","UMP",1,1,1,1,1,1,1,1,1,1,1,1
"C00106","Uracil",1,1,1,1,1,1,1,1,1,1,1,1
"C00108","Anthranilate",1,1,1,1,1,1,1,1,1,1,1,1
"C00109","2-Oxobutanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00111","Glycerone phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00112","CDP",1,1,1,1,1,1,1,1,1,1,0,0
"C00114","Choline",1,1,1,1,1,1,1,1,0,0,0,0
"C00116","Glycerol",1,1,1,1,1,1,1,1,1,1,1,1
"C00117","D-Ribose 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00118","D-Glyceraldehyde 3-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00119","5-Phospho-alpha-D-ribose 1-diphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00121","D-Ribose",1,1,1,1,1,1,1,1,1,1,1,1
"C00122","Fumarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00123","L-Leucine",1,1,1,1,1,1,1,1,0,0,0,0
"C00124","D-Galactose",1,1,1,1,1,1,1,1,1,1,1,0
"C00127","Glutathione disulfide",1,0,0,0,0,0,0,0,0,0,0,0
"C00128","CMP-N-acetylneuraminate",1,1,1,1,1,1,1,1,1,1,0,0
"C00129","Isopentenyl diphosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C00130","IMP",1,1,1,1,1,1,1,1,1,1,1,1
"C00131","dATP",1,1,1,1,1,1,1,1,1,1,0,0
"C00132","Methanol",1,1,1,1,1,1,1,1,1,1,1,1
"C00133","D-Alanine",1,1,1,1,1,1,1,1,1,1,1,1
"C00134","Putrescine",1,1,1,1,1,1,1,1,1,1,1,1
"C00135","L-Histidine",1,1,1,1,1,1,1,1,1,1,1,1
"C00136","Butanoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00137","myo-Inositol",1,1,1,1,1,1,1,1,1,1,1,1
"C00140","N-Acetyl-D-glucosamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00141","3-Methyl-2-oxobutanoic acid",1,1,1,1,1,1,1,1,0,0,0,0
"C00143","5,10-Methylenetetrahydrofolate",1,1,1,1,1,1,0,0,0,0,0,0
"C00144","GMP",1,1,1,1,1,1,0,0,0,0,0,0
"C00146","Phenol",1,1,1,1,1,1,1,1,1,1,1,1
"C00147","Adenine",1,1,1,1,1,1,1,1,1,1,1,1
"C00148","L-Proline",1,1,1,1,1,1,1,1,1,1,1,1
"C00149","(S)-Malate",1,1,1,1,1,1,1,1,1,1,1,1
"C00152","L-Asparagine",1,1,1,1,1,1,1,1,1,1,1,1
"C00153","Nicotinamide",1,1,1,1,0,0,0,0,0,0,0,0
"C00154","Palmitoyl-CoA",1,1,1,1,1,1,1,1,0,0,0,0
"C00155","L-Homocysteine",1,1,1,1,1,1,1,1,1,1,1,1
"C00156","4-Hydroxybenzoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00158","Citrate",1,1,1,1,1,1,1,1,1,1,1,1
"C00159","D-Mannose",1,1,1,1,1,1,1,1,1,1,1,1
"C00160","Glycolate",1,1,1,1,1,1,1,1,1,1,1,1
"C00163","Propanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00164","Acetoacetate",1,1,1,1,1,1,1,1,1,1,1,0
"C00166","Phenylpyruvate",1,1,1,1,1,1,1,1,1,1,1,1
"C00167","UDP-glucuronate",1,1,1,1,1,1,1,1,1,1,0,0
"C00168","Hydroxypyruvate",1,1,1,1,1,1,1,1,1,1,1,1
"C00169","Carbamoyl phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00170","5'-Methylthioadenosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00177","Cyanide ion",1,1,1,1,1,1,1,1,1,1,1,1
"C00178","Thymine",1,1,1,1,1,1,0,0,0,0,0,0
"C00179","Agmatine",1,1,1,1,1,1,1,1,1,1,1,1
"C00180","Benzoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00181","D-Xylose",1,1,1,1,1,1,1,1,1,1,1,1
"C00183","L-Valine",1,1,1,1,1,1,1,1,0,0,0,0
"C00184","Glycerone",1,1,1,1,1,1,1,1,1,1,1,1
"C00185","Cellobiose",1,1,1,1,1,1,1,1,1,1,1,1
"C00186","(S)-Lactate",1,1,1,1,1,1,1,1,1,1,1,1
"C00188","L-Threonine",1,1,1,1,1,1,1,1,1,1,1,1
"C00189","Ethanolamine",1,1,1,1,1,1,1,1,0,0,0,0
"C00190","UDP-D-xylose",1,1,1,1,1,1,1,1,1,1,0,0
"C00191","D-Glucuronate",1,1,1,1,1,1,1,1,1,1,1,1
"C00192","Hydroxylamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00196","2,3-Dihydroxybenzoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00197","3-Phospho-D-glycerate",1,1,1,1,1,1,1,1,1,1,1,1
"C00198","D-Glucono-1,5-lactone",1,1,1,1,1,1,1,1,1,1,1,1
"C00199","D-Ribulose 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00203","UDP-N-acetyl-D-galactosamine",1,1,1,1,1,1,1,1,1,1,0,0
"C00204","2-Dehydro-3-deoxy-D-gluconate",1,1,1,1,1,1,1,1,1,1,1,1
"C00206","dADP",1,1,1,1,1,1,1,1,1,1,0,0
"C00207","Acetone",1,1,1,1,1,1,1,1,1,1,1,0
"C00208","Maltose",1,1,1,1,1,1,1,1,1,1,1,1
"C00209","Oxalate",1,1,1,1,1,1,1,1,1,1,1,1
"C00212","Adenosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00213","Sarcosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00214","Thymidine",1,1,1,1,1,1,0,0,0,0,0,0
"C00216","D-Arabinose",1,1,1,1,1,1,1,1,1,1,1,1
"C00217","D-Glutamate",1,1,1,1,1,1,1,1,1,1,1,1
"C00221","beta-D-Glucose",1,1,1,1,1,1,1,1,1,1,1,1
"C00222","3-Oxopropanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00223","p-Coumaroyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00224","Adenylyl sulfate",1,1,1,1,1,1,1,1,1,1,0,0
"C00227","Acetyl phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00230","3,4-Dihydroxybenzoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00231","D-Xylulose 5-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00232","Succinate semialdehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00233","4-Methyl-2-oxopentanoate",1,1,1,1,1,1,1,1,0,0,0,0
"C00234","10-Formyltetrahydrofolate",1,1,1,1,1,1,0,0,0,0,0,0
"C00235","Dimethylallyl diphosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C00236","3-Phospho-D-glyceroyl phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00237","CO",1,1,1,1,1,1,1,1,1,1,1,1
"C00239","dCMP",1,1,1,1,1,1,1,1,0,0,0,0
"C00242","Guanine",1,1,1,1,1,1,0,0,0,0,0,0
"C00243","Lactose",1,1,1,1,1,1,1,1,1,1,1,0
"C00244","Nitrate",1,1,1,1,1,1,1,1,1,1,1,1
"C00245","Taurine",1,1,1,1,1,1,1,1,1,1,1,1
"C00246","Butanoic acid",1,1,1,1,1,1,1,1,1,1,1,1
"C00247","L-Sorbose",1,1,1,1,1,1,1,1,1,1,1,1
"C00249","Hexadecanoic acid",1,1,1,1,1,1,1,1,0,0,0,0
"C00250","Pyridoxal",1,1,1,1,1,1,1,1,1,1,1,1
"C00251","Chorismate",1,1,1,1,1,1,1,1,1,1,1,1
"C00252","Isomaltose",1,1,1,1,1,1,1,1,1,1,1,1
"C00253","Nicotinate",1,1,1,1,0,0,0,0,0,0,0,0
"C00254","Prephenate",1,1,1,1,1,1,1,1,1,1,1,1
"C00255","Riboflavin",1,1,1,0,0,0,0,0,0,0,0,0
"C00256","(R)-Lactate",1,1,1,1,1,1,1,1,1,1,1,1
"C00257","D-Gluconic acid",1,1,1,1,1,1,1,1,1,1,1,1
"C00258","D-Glycerate",1,1,1,1,1,1,1,1,1,1,1,1
"C00259","L-Arabinose",1,1,1,1,1,1,1,1,1,1,1,1
"C00261","Benzaldehyde",1,1,1,1,1,1,1,1,0,0,0,0
"C00262","Hypoxanthine",1,1,1,1,1,1,1,1,1,1,1,1
"C00263","L-Homoserine",1,1,1,1,1,1,1,1,1,1,1,1
"C00266","Glycolaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00267","alpha-D-Glucose",1,1,1,1,1,1,1,1,1,1,1,1
"C00268","Dihydrobiopterin",1,0,0,0,0,0,0,0,0,0,0,0
"C00270","N-Acetylneuraminate",1,1,1,1,1,1,1,1,1,1,1,1
"C00272","Tetrahydrobiopterin",1,0,0,0,0,0,0,0,0,0,0,0
"C00273","5-Dehydro-D-fructose",1,0,0,0,0,0,0,0,0,0,0,0
"C00275","D-Mannose 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00279","D-Erythrose 4-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00282","Hydrogen",1,1,1,1,1,1,0,0,0,0,0,0
"C00283","Hydrogen sulfide",1,1,1,1,1,1,1,1,1,1,1,1
"C00286","dGTP",1,1,1,1,1,1,0,0,0,0,0,0
"C00288","HCO3-",1,1,1,1,1,1,1,1,1,1,1,1
"C00292","Aniline",1,1,1,1,1,1,1,1,1,1,1,1
"C00294","Inosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00295","Orotate",1,1,1,1,1,1,1,1,1,1,1,1
"C00296","Quinate",1,1,1,1,1,1,1,1,1,1,1,1
"C00299","Uridine",1,1,1,1,1,1,1,1,1,1,1,1
"C00300","Creatine",1,1,1,1,1,1,1,1,1,1,1,1
"C00301","ADP-ribose",1,1,1,1,1,1,1,1,1,1,1,1
"C00302","Glutamate",1,1,1,1,1,1,1,1,1,1,1,1
"C00307","CDP-choline",1,1,1,1,1,1,1,1,0,0,0,0
"C00309","D-Ribulose",1,1,1,1,1,1,1,1,1,1,1,1
"C00310","D-Xylulose",1,1,1,1,1,1,1,1,1,1,1,1
"C00311","Isocitrate",1,1,1,1,1,1,1,1,1,1,1,1
"C00312","L-Xylulose",1,1,1,1,1,1,1,1,1,1,1,1
"C00313","Oxalyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00314","Pyridoxine",1,1,1,1,1,1,1,1,1,1,0,0
"C00315","Spermidine",1,1,1,1,1,1,1,1,1,1,1,1
"C00319","Sphingosine",1,1,1,1,1,1,1,1,0,0,0,0
"C00320","Thiosulfate",1,1,1,1,1,1,1,1,1,1,1,1
"C00322","2-Oxoadipate",1,1,1,1,1,1,1,1,1,1,1,1
"C00323","Caffeoyl-CoA",1,1,1,1,1,0,0,0,0,0,0,0
"C00325","GDP-L-fucose",1,1,1,1,1,1,0,0,0,0,0,0
"C00327","L-Citrulline",1,1,1,1,1,1,1,1,1,1,1,1
"C00328","L-Kynurenine",1,1,1,0,0,0,0,0,0,0,0,0
"C00329","D-Glucosamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00330","Deoxyguanosine",1,1,1,1,1,1,0,0,0,0,0,0
"C00331","Indolepyruvate",1,1,1,1,1,1,1,1,1,1,1,1
"C00332","Acetoacetyl-CoA",1,1,1,1,1,1,1,1,1,1,1,0
"C00333","D-Galacturonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00334","4-Aminobutanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00337","(S)-Dihydroorotate",1,1,1,1,1,1,1,1,1,1,1,1
"C00341","Geranyl diphosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C00345","6-Phospho-D-gluconate",1,1,1,1,1,1,1,1,1,1,1,1
"C00346","Ethanolamine phosphate",1,1,1,1,1,1,1,1,0,0,0,0
"C00349","2-Methyl-3-oxopropanoate",1,1,1,1,1,1,0,0,0,0,0,0
"C00352","D-Glucosamine 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00353","Geranylgeranyl diphosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C00354","D-Fructose 1,6-bisphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00356","(S)-3-Hydroxy-3-methylglutaryl-CoA",1,1,1,1,1,1,1,1,1,1,1,0
"C00357","N-Acetyl-D-glucosamine 6-phosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00360","dAMP",1,1,1,1,1,1,1,1,1,1,1,1
"C00361","dGDP",1,1,1,1,1,1,0,0,0,0,0,0
"C00362","dGMP",1,1,1,1,1,1,0,0,0,0,0,0
"C00363","dTDP",1,1,1,1,1,1,0,0,0,0,0,0
"C00364","dTMP",1,1,1,1,1,1,0,0,0,0,0,0
"C00365","dUMP",1,1,1,1,1,1,1,1,1,1,1,1
"C00366","Urate",1,1,1,1,1,1,0,0,0,0,0,0
"C00379","Xylitol",1,1,1,1,1,1,1,1,1,1,1,1
"C00380","Cytosine",1,1,1,1,1,1,1,1,1,1,0,0
"C00383","Malonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00385","Xanthine",1,1,1,1,1,1,0,0,0,0,0,0
"C00386","Carnosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00387","Guanosine",1,1,1,1,1,1,0,0,0,0,0,0
"C00388","Histamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00392","Mannitol",1,1,1,1,1,1,1,1,1,1,1,1
"C00394","GDP-glucose",1,1,1,1,1,1,0,0,0,0,0,0
"C00398","Tryptamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00402","D-Aspartate",1,1,1,1,1,1,1,1,1,1,1,1
"C00406","Feruloyl-CoA",1,1,1,1,1,0,0,0,0,0,0,0
"C00407","L-Isoleucine",1,0,0,0,0,0,0,0,0,0,0,0
"C00408","L-Pipecolate",1,1,1,1,1,1,1,1,1,1,1,1
"C00409","Methanethiol",1,1,1,1,1,1,1,1,1,1,1,1
"C00412","Stearoyl-CoA",1,0,0,0,0,0,0,0,0,0,0,0
"C00415","Dihydrofolate",1,1,1,1,1,1,0,0,0,0,0,0
"C00417","cis-Aconitate",1,1,1,1,1,1,1,1,1,1,1,1
"C00418","(R)-Mevalonate",1,1,1,1,1,1,1,1,1,1,1,0
"C00423","trans-Cinnamate",1,1,1,1,1,1,1,1,1,1,1,0
"C00424","(S)-Lactaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00429","5,6-Dihydrouracil",1,1,1,1,1,1,1,1,1,1,1,1
"C00430","5-Aminolevulinate",1,1,1,1,1,1,1,1,1,1,1,0
"C00431","5-Aminopentanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00433","2,5-Dioxopentanoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00436","N-Carbamoylputrescine",1,1,1,1,1,1,1,1,1,1,1,1
"C00437","N-Acetylornithine",1,1,1,1,1,1,1,1,1,1,1,1
"C00438","N-Carbamoyl-L-aspartate",1,1,1,1,1,1,1,1,1,1,1,1
"C00439","N-Formimino-L-glutamate",1,1,1,1,1,1,1,1,1,1,1,1
"C00440","5-Methyltetrahydrofolate",1,1,1,1,1,1,0,0,0,0,0,0
"C00441","L-Aspartate 4-semialdehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00445","5,10-Methenyltetrahydrofolate",1,1,1,1,1,1,0,0,0,0,0,0
"C00446","alpha-D-Galactose 1-phosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C00447","Sedoheptulose 1,7-bisphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00448","trans,trans-Farnesyl diphosphate",1,1,1,1,1,1,1,1,1,1,1,0
"C00449","N6-(L-1,3-Dicarboxypropyl)-L-lysine",1,1,1,1,1,1,1,1,1,1,1,1
"C00450","(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate",1,1,1,1,1,1,1,1,1,1,1,1
"C00455","Nicotinamide D-ribonucleotide",1,1,1,1,0,0,0,0,0,0,0,0
"C00458","dCTP",1,1,1,1,1,1,1,1,0,0,0,0
"C00459","dTTP",1,1,1,1,1,1,0,0,0,0,0,0
"C00460","dUTP",1,1,1,1,1,1,1,1,1,1,0,0
"C00463","Indole",1,1,1,1,1,1,1,1,0,0,0,0
"C00466","Acetoin",1,1,1,1,1,1,1,1,1,1,1,1
"C00469","Ethanol",1,1,1,1,1,1,1,1,1,1,1,1
"C00474","Ribitol",1,1,1,1,1,1,1,1,1,1,1,1
"C00475","Cytidine",1,1,1,1,1,1,1,1,1,1,0,0
"C00476","D-Lyxose",1,1,1,1,1,1,1,1,1,1,1,1
"C00479","Propanal",1,1,1,1,1,1,1,1,1,1,1,1
"C00483","Tyramine",1,1,1,1,1,1,1,1,1,1,1,1
"C00488","Formamide",1,1,1,1,1,1,1,1,1,1,1,1
"C00489","Glutarate",1,1,1,1,1,1,1,1,1,1,1,1
"C00490","Itaconate",1,1,1,1,1,1,1,1,1,1,1,1
"C00491","L-Cystine",1,1,1,1,1,1,1,1,1,1,1,1
"C00492","Raffinose",1,1,1,1,1,1,1,1,1,1,1,0
"C00493","Shikimate",1,1,1,1,1,1,1,1,1,1,1,1
"C00497","(R)-Malate",1,1,1,1,1,1,1,1,1,1,1,1
"C00498","ADP-glucose",1,1,1,1,1,1,1,1,1,1,1,1
"C00499","Allantoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00501","CDP-glucose",1,1,1,1,1,1,1,1,1,1,0,0
"C00502","D-Xylonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00504","Folate",1,0,0,0,0,0,0,0,0,0,0,0
"C00506","L-Cysteate",1,1,1,1,1,1,1,1,1,1,1,1
"C00507","L-Rhamnose",1,1,1,1,1,1,1,1,1,1,1,1
"C00508","L-Ribulose",1,1,1,1,1,1,1,1,1,1,1,1
"C00509","Naringenin",1,0,0,0,0,0,0,0,0,0,0,0
"C00511","Acrylic acid",1,1,1,1,1,1,1,1,1,1,1,1
"C00512","S-Benzoate coenzyme A",1,1,1,1,1,1,1,1,1,1,1,1
"C00513","CDP-glycerol",1,1,1,1,1,1,1,1,1,1,0,0
"C00514","D-Mannonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00515","D-Ornithine",1,1,1,1,1,1,1,1,1,1,1,1
"C00517","Hexadecanal",1,1,1,1,1,1,1,1,0,0,0,0
"C00519","Hypotaurine",1,1,1,1,1,1,1,1,1,1,1,1
"C00521","(-)-Limonene",1,1,1,1,1,1,1,1,1,1,1,0
"C00522","(R)-Pantoate",1,1,1,1,1,1,1,0,0,0,0,0
"C00526","Deoxyuridine",1,1,1,1,1,1,1,1,1,1,1,1
"C00527","Glutaryl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00531","Itaconyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00532","L-Arabitol",1,1,1,1,1,1,1,1,1,1,1,1
"C00533","Nitric oxide",1,1,1,1,1,1,1,1,1,1,1,1
"C00534","Pyridoxamine",1,1,1,1,1,1,1,1,1,1,1,1
"C00536","Triphosphate",1,1,1,1,1,1,1,1,1,1,1,1
"C00540","Cinnamoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,0
"C00542","Cystathionine",1,1,1,1,1,1,1,1,1,1,1,1
"C00543","Dimethylamine",1,1,1,1,1,1,1,1,0,0,0,0
"C00545","L-Arabinonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00546","Methylglyoxal",1,1,1,1,1,1,1,1,1,1,1,1
"C00548","Phenyl acetate",1,1,1,1,1,1,1,1,1,1,1,1
"C00552","meso-Tartaric acid",1,1,1,1,1,1,1,1,1,1,1,1
"C00555","4-Aminobutyraldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00556","Benzyl alcohol",1,1,1,1,1,1,1,1,0,0,0,0
"C00558","D-Tagaturonate",1,1,1,1,1,1,1,1,1,1,1,1
"C00559","Deoxyadenosine",1,1,1,1,1,1,1,1,1,1,1,1
"C00561","Mandelonitrile",1,1,1,1,1,1,1,1,0,0,0,0
"C00565","Trimethylamine",1,1,1,1,1,1,1,1,0,0,0,0
"C00566","(3S)-Citryl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00568","4-Aminobenzoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00570","CDP-ethanolamine",1,1,1,1,1,1,1,1,0,0,0,0
"C00575","3',5'-Cyclic AMP",1,1,1,1,1,1,1,1,1,1,1,0
"C00576","Betaine aldehyde",1,1,1,1,1,1,1,1,0,0,0,0
"C00577","D-Glyceraldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00581","Guanidinoacetate",1,1,1,1,1,1,1,1,1,1,1,1
"C00582","Phenylacetyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1
"C00583","Propane-1,2-diol",1,1,1,1,1,1,1,1,1,1,1,1
"C00587","3-Hydroxybenzoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00588","Choline phosphate",1,1,1,1,1,1,1,1,0,0,0,0
"C00590","Coniferyl alcohol",1,0,0,0,0,0,0,0,0,0,0,0
"C00593","Sulfoacetaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00596","2-Hydroxy-2,4-pentadienoate",1,1,1,1,1,1,1,1,1,1,1,1
"C00601","Phenylacetaldehyde",1,1,1,1,1,1,1,1,1,1,1,1
"C00603","(-)-Ureidoglycolate",1,1,1,1,1,1,1,1,1,1,1,1
