"Module enrichment analysis",,,,,
"Module ID","Name","# Metabolites present","Total","P-value","Adjusted (BH) P-value"
"M00530","Dissimilatory nitrate reduction, nitrate => ammonia",3,3,0,0
"M00531","Assimilatory nitrate reduction, nitrate => ammonia",3,3,0,0
"M00532","Photorespiration",8,14,0,0
"M00533","Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",4,6,0,0
"M00535","Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",5,5,0,0
"M00545","Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",4,9,"2,00E-05","0,000718796459773619"
"M00546","Purine degradation, xanthine => urea",5,7,0,0
"M00569","Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",7,17,0,0
"M00570","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",4,7,0,0
"M00587","Arginine/lysine/histidine/glutamine transport system",2,4,"0,00019","0,00602520561869063"
"M00609","Cysteine biosynthesis, methionine => cysteine",3,7,"0,00013","0,00424743362593502"
"M00620","Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",6,8,0,0
"M00622","Nicotinate degradation, nicotinate => fumarate",4,7,0,0
"M00653","AauS-AauR (acidic amino acids utilization) two-component regulatory system",1,1,0,0
"M00740","Methylaspartate cycle",11,15,0,0
